ID,10N_090W_t_aboveground_biomass_ha_2000,Location,geometry
1,732,BPI-014-CR,"c(-84.5569653, 10.1127216)"
2,874,BPI-029-CR,"c(-84.5518021, 10.1059736)"
3,494,BPI-047-CR,"c(-84.5130944, 10.1287986)"
4,698,BPI-049-CR,"c(-84.5127065, 10.1281729)"
5,591,BPI-065-CR,"c(-84.5532837, 10.1217769)"
6,636,BPI-017-CR,"c(-84.5571165, 10.1112232)"
7,424,BPI-034-CR,"c(-84.5513293, 10.0975689)"
8,925,BPI-039-CR,"c(-84.478374, 10.0452216)"
9,681,BPI-040-CR,"c(-84.480093, 10.0444591)"
10,601,BPI-044-CR,"c(-84.5065818, 10.1213554)"
11,568,BPI-045-CR,"c(-84.5069953, 10.1203859)"
12,389,BPI-064-CR,"c(-84.5517758, 10.1217069)"
13,618,BPI-105-CR,"c(-84.4977864, 10.0723331)"
14,918,BPI-117-CR,"c(-84.5151519, 10.0531283)"
15,757,BPI-139-CR,"c(-84.5108682, 10.1126633)"
16,652,BPI-001-CR,"c(-84.5023686, 10.0789858)"
17,680,BPI-003-CR,"c(-84.5042077, 10.0791521)"
18,788,BPI-004-CR,"c(-84.5052216, 10.0792857)"
19,591,BPI-005-CR,"c(-84.4816052, 10.1245722)"
20,513,BPI-008-CR,"c(-84.4796615, 10.1261)"
21,42,BPI-010-CR,"c(-84.5061124, 10.1481116)"
22,223,BPI-011-CR,"c(-84.5072521, 10.1479216)"
23,270,BPI-012-CR,"c(-84.5081602, 10.1483125)"
24,864,BPI-016-CR,"c(-84.5575363, 10.1106973)"
25,848,BPI-018-CR,"c(-84.5438036, 10.1200664)"
26,838,BPI-022-CR,"c(-84.4345301, 10.1185689)"
27,459,BPI-024-CR,"c(-84.4293753, 10.1348632)"
28,849,BPI-025-CR,"c(-84.4298265, 10.1358659)"
29,826,BPI-026-CR,"c(-84.4288372, 10.1357582)"
30,603,BPI-027-CR,"c(-84.5506657, 10.1053933)"
31,818,BPI-028-CR,"c(-84.5510685, 10.1058837)"
32,15,BPI-030-CR,"c(-84.5498399, 10.1051612)"
33,763,BPI-038-CR,"c(-84.4830427, 10.0547542)"
34,624,BPI-042-CR,"c(-84.4810864, 10.0416568)"
35,474,BPI-046-CR,"c(-84.5143227, 10.1286011)"
36,670,BPI-048-CR,"c(-84.5119934, 10.1288066)"
37,417,BPI-050-CR,"c(-84.5298859, 10.1220225)"
38,583,BPI-051-CR,"c(-84.529712, 10.1207163)"
39,763,BPI-052-CR,"c(-84.5305825, 10.1216996)"
40,8,BPI-053-CR,"c(-84.5332645, 10.117497)"
41,827,BPI-054-CR,"c(-84.5336269, 10.1198899)"
42,552,BPI-055-CR,"c(-84.532486, 10.1199831)"
43,622,BPI-056-CR,"c(-84.5323145, 10.1214581)"
44,87,BPI-057-CR,"c(-84.5117277, 10.1393295)"
45,446,BPI-058-CR,"c(-84.511798, 10.1405595)"
46,605,BPI-059-CR,"c(-84.5100674, 10.140456)"
47,371,BPI-060-CR,"c(-84.5125708, 10.1378714)"
48,550,BPI-061-CR,"c(-84.515772, 10.1380778)"
49,189,BPI-062-CR,"c(-84.5172647, 10.1376265)"
50,730,BPI-067-CR,"c(-84.5570623, 10.116039)"
51,665,BPI-068-CR,"c(-84.5579698, 10.1153751)"
52,657,BPI-069-CR,"c(-84.5586206, 10.1160136)"
53,743,BPI-071-CR,"c(-84.4748727, 10.072315)"
54,797,BPI-072-CR,"c(-84.4764668, 10.0719252)"
55,459,BPI-075-CR,"c(-84.4758064, 10.0701593)"
56,823,BPI-077-CR,"c(-84.4690282, 10.0427887)"
57,726,BPI-080-CR,"c(-84.4739848, 10.0403151)"
58,8,BPI-088-CR,"c(-84.5430596, 10.109647)"
59,593,BPI-094-CR,"c(-84.5401886, 10.155725)"
60,419,BPI-095-CR,"c(-84.5406634, 10.1566234)"
61,717,BPI-096-CR,"c(-84.4877984, 10.0482565)"
62,710,BPI-097-CR,"c(-84.48578, 10.0469144)"
63,628,BPI-098-CR,"c(-84.4846849, 10.0453934)"
64,490,BPI-100-CR,"c(-84.489667, 10.0550119)"
65,498,BPI-101-CR,"c(-84.4888351, 10.0613219)"
66,838,BPI-102-CR,"c(-84.4949415, 10.0809554)"
67,757,BPI-104-CR,"c(-84.496473, 10.0734981)"
68,642,BPI-106-CR,"c(-84.499009, 10.0729765)"
69,478,BPI-107-CR,"c(-84.5152869, 10.1190024)"
70,533,BPI-108-CR,"c(-84.5149877, 10.1190981)"
71,309,BPI-111-CR,"c(-84.5433677, 10.0880183)"
72,498,BPI-112-CR,"c(-84.4842741, 10.0798823)"
73,725,BPI-114-CR,"c(-84.4854094, 10.0787469)"
74,841,BPI-122-CR,"c(-84.4219644, 10.1286983)"
75,1026,BPI-124-CR,"c(-84.44513, 10.116372)"
76,214,BPI-126-CR,"c(-84.4410942, 10.1119037)"
77,923,BPI-127-CR,"c(-84.4411276, 10.1103079)"
78,655,BPI-128-CR,"c(-84.4398109, 10.1111145)"
79,573,BPI-130-CR,"c(-84.5133912, 10.1209466)"
80,747,BPI-133-CR,"c(-84.5120095, 10.1201563)"
81,309,BPI-134-CR,"c(-84.5094513, 10.1154006)"
82,297,BPI-135-CR,"c(-84.5079289, 10.1155529)"
83,841,BPI-136-CR,"c(-84.509723, 10.1138154)"
84,837,BPI-137-CR,"c(-84.5085341, 10.1135903)"
85,660,BPI-138-CR,"c(-84.509147, 10.1129089)"
86,719,BPI-143-CR,"c(-84.5147134, 10.1172633)"
87,529,BPI-144-CR,"c(-84.5199031, 10.1154304)"
88,808,BPI-146-CR,"c(-84.4350198, 10.1225939)"
89,683,BPI-150-CR,"c(-84.4359988, 10.1218467)"
90,919,BPI-151-CR,"c(-84.4372428, 10.1130617)"
91,697,BPI-154-CR,"c(-84.4459467, 10.1088573)"
92,902,BPI-158-CR,"c(-84.4447017, 10.1017864)"
93,105,BPI-091-CR,"c(-84.5566407, 10.1420472)"
94,759,BPI-092-CR,"c(-84.55728, 10.1428142)"
95,513,BPI-093-CR,"c(-84.5504624, 10.1534041)"
96,914,BPI-035-CR,"c(-84.4855296, 10.0530529)"
97,741,BPI-036-CR,"c(-84.4847674, 10.0533148)"
98,105,BPI-084-CR,"c(-84.5354017, 10.1111985)"
99,594,BPI-085-CR,"c(-84.5363656, 10.1119322)"
100,903,BPI-002-CR,"c(-84.5034763, 10.079471)"
101,804,BPI-007-CR,"c(-84.4811302, 10.125849)"
102,586,BPI-013-CR,"c(-84.5567831, 10.1136284)"
103,666,BPI-015-CR,"c(-84.5578124, 10.1117494)"
104,640,BPI-019-CR,"c(-84.5437481, 10.1207781)"
105,816,BPI-020-CR,"c(-84.5445365, 10.1210005)"
106,893,BPI-021-CR,"c(-84.4347098, 10.1174941)"
107,455,BPI-031-CR,"c(-84.5511055, 10.1003038)"
108,626,BPI-032-CR,"c(-84.5507279, 10.0999758)"
109,780,BPI-037-CR,"c(-84.4839844, 10.0546771)"
110,496,BPI-063-CR,"c(-84.5517909, 10.1208018)"
111,126,BPI-066-CR,"c(-84.556157, 10.1155724)"
112,879,BPI-070-CR,"c(-84.4735999, 10.0728615)"
113,566,BPI-076-CR,"c(-84.4739909, 10.0710707)"
114,587,BPI-082-CR,"c(-84.4741681, 10.0376128)"
115,508,BPI-083-CR,"c(-84.4741361, 10.0362608)"
116,702,BPI-086-CR,"c(-84.53775, 10.1117266)"
117,11,BPI-087-CR,"c(-84.5430199, 10.1079236)"
118,61,BPI-090-CR,"c(-84.555205, 10.1417126)"
119,809,BPI-099-CR,"c(-84.4884924, 10.0542554)"
120,531,BPI-103-CR,"c(-84.4952533, 10.079394)"
121,725,BPI-113-CR,"c(-84.4843316, 10.0790222)"
122,753,BPI-125-CR,"c(-84.4423726, 10.1164539)"
123,791,BPI-131-CR,"c(-84.5131493, 10.1228729)"
124,726,BPI-132-CR,"c(-84.512499, 10.1183973)"
125,22,BPI-140-CR,"c(-84.5154186, 10.120028)"
126,564,BPI-142-CR,"c(-84.5153234, 10.1179435)"
127,949,BPI-152-CR,"c(-84.4479011, 10.1164697)"
128,897,BPI-153-CR,"c(-84.4459517, 10.1160079)"
129,699,BPI-155-CR,"c(-84.4447795, 10.1076841)"
130,934,BPI-156-CR,"c(-84.4454672, 10.1055376)"
131,918,BPI-157-CR,"c(-84.4453707, 10.1044213)"
