"Location","Latitude","Longitude"
"BPI-014-CR",10.1127216,-84.5569653
"BPI-029-CR",10.1059736,-84.5518021
"BPI-047-CR",10.1287986,-84.5130944
"BPI-049-CR",10.1281729,-84.5127065
"BPI-065-CR",10.1217769,-84.5532837
"BPI-004-CR",10.0792857,-84.5052216
"BPI-017-CR",10.1112232,-84.5571165
"BPI-034-CR",10.0975689,-84.5513293
"BPI-039-CR",10.0452216,-84.478374
"BPI-040-CR",10.0444591,-84.480093
"BPI-041-CR",10.0435427,-84.4811087
"BPI-042-CR",10.0416568,-84.4810864
"BPI-044-CR",10.1213554,-84.5065818
"BPI-045-CR",10.1203859,-84.5069953
"BPI-064-CR",10.1217069,-84.5517758
"BPI-068-CR",10.1153751,-84.5579698
"BPI-071-CR",10.072315,-84.4748727
"BPI-080-CR",10.0403151,-84.4739848
"BPI-105-CR",10.0723331,-84.4977864
"BPI-115-CR",10.0518394,-84.5161909
"BPI-117-CR",10.0531283,-84.5151519
"BPI-134-CR",10.1154006,-84.5094513
"BPI-135-CR",10.1155529,-84.5079289
"BPI-139-CR",10.1126633,-84.5108682
"BPI-001-CR",10.0789858,-84.5023686
"BPI-002-CR",10.079471,-84.5034763
"BPI-003-CR",10.0791521,-84.5042077
"BPI-005-CR",10.1245722,-84.4816052
"BPI-006-CR",10.1255099,-84.4820598
"BPI-007-CR",10.125849,-84.4811302
"BPI-008-CR",10.1261,-84.4796615
"BPI-010-CR",10.1481116,-84.5061124
"BPI-011-CR",10.1479216,-84.5072521
"BPI-012-CR",10.1483125,-84.5081602
"BPI-016-CR",10.1106973,-84.5575363
"BPI-018-CR",10.1200664,-84.5438036
"BPI-019-CR",10.1207781,-84.5437481
"BPI-020-CR",10.1210005,-84.5445365
"BPI-022-CR",10.1185689,-84.4345301
"BPI-024-CR",10.1348632,-84.4293753
"BPI-025-CR",10.1358659,-84.4298265
"BPI-026-CR",10.1357582,-84.4288372
"BPI-027-CR",10.1053933,-84.5506657
"BPI-028-CR",10.1058837,-84.5510685
"BPI-030-CR",10.1051612,-84.5498399
"BPI-035-CR",10.0530529,-84.4855296
"BPI-037-CR",10.0546771,-84.4839844
"BPI-038-CR",10.0547542,-84.4830427
"BPI-043-CR",10.1221828,-84.5058146
"BPI-046-CR",10.1286011,-84.5143227
"BPI-048-CR",10.1288066,-84.5119934
"BPI-050-CR",10.1220225,-84.5298859
"BPI-051-CR",10.1207163,-84.529712
"BPI-052-CR",10.1216996,-84.5305825
"BPI-053-CR",10.117497,-84.5332645
"BPI-054-CR",10.1198899,-84.5336269
"BPI-055-CR",10.1199831,-84.532486
"BPI-056-CR",10.1214581,-84.5323145
"BPI-057-CR",10.1393295,-84.5117277
"BPI-058-CR",10.1405595,-84.511798
"BPI-059-CR",10.140456,-84.5100674
"BPI-060-CR",10.1378714,-84.5125708
"BPI-061-CR",10.1380778,-84.515772
"BPI-062-CR",10.1376265,-84.5172647
"BPI-066-CR",10.1155724,-84.556157
"BPI-067-CR",10.116039,-84.5570623
"BPI-069-CR",10.1160136,-84.5586206
"BPI-072-CR",10.0719252,-84.4764668
"BPI-075-CR",10.0701593,-84.4758064
"BPI-077-CR",10.0427887,-84.4690282
"BPI-081-CR",10.0386452,-84.4740873
"BPI-082-CR",10.0376128,-84.4741681
"BPI-086-CR",10.1117266,-84.53775
"BPI-088-CR",10.109647,-84.5430596
"BPI-090-CR",10.1417126,-84.555205
"BPI-091-CR",10.1420472,-84.5566407
"BPI-094-CR",10.155725,-84.5401886
"BPI-095-CR",10.1566234,-84.5406634
"BPI-096-CR",10.0482565,-84.4877984
"BPI-097-CR",10.0469144,-84.48578
"BPI-098-CR",10.0453934,-84.4846849
"BPI-100-CR",10.0550119,-84.489667
"BPI-101-CR",10.0613219,-84.4888351
"BPI-102-CR",10.0809554,-84.4949415
"BPI-103-CR",10.079394,-84.4952533
"BPI-104-CR",10.0734981,-84.496473
"BPI-106-CR",10.0729765,-84.499009
"BPI-107-CR",10.1190024,-84.5152869
"BPI-108-CR",10.1190981,-84.5149877
"BPI-109-CR",10.0916349,-84.5577596
"BPI-111-CR",10.0880183,-84.5433677
"BPI-112-CR",10.0798823,-84.4842741
"BPI-114-CR",10.0787469,-84.4854094
"BPI-116-CR",10.0518619,-84.5148675
"BPI-122-CR",10.1286983,-84.4219644
"BPI-124-CR",10.116372,-84.44513
"BPI-125-CR",10.1164539,-84.4423726
"BPI-126-CR",10.1119037,-84.4410942
"BPI-127-CR",10.1103079,-84.4411276
"BPI-128-CR",10.1111145,-84.4398109
"BPI-129-CR",10.1188244,-84.5145052
"BPI-130-CR",10.1209466,-84.5133912
"BPI-133-CR",10.1201563,-84.5120095
"BPI-136-CR",10.1138154,-84.509723
"BPI-137-CR",10.1135903,-84.5085341
"BPI-137-CR",10.113612,-84.5085716
"BPI-138-CR",10.1129089,-84.509147
"BPI-142-CR",10.1179435,-84.5153234
"BPI-143-CR",10.1172633,-84.5147134
"BPI-144-CR",10.1154304,-84.5199031
"BPI-146-CR",10.1225939,-84.4350198
"BPI-147-CR",10.1215325,-84.434123
"BPI-149-CR",10.1206841,-84.4353481
"BPI-150-CR",10.1218467,-84.4359988
"BPI-151-CR",10.1130617,-84.4372428
"BPI-153-CR",10.1160079,-84.4459517
"BPI-154-CR",10.1088573,-84.4459467
"BPI-158-CR",10.1017864,-84.4447017
"BPI-092-CR",10.1428142,-84.55728
"BPI-093-CR",10.1534041,-84.5504624
"BPI-036-CR",10.0533148,-84.4847674
"BPI-084-CR",10.1111985,-84.5354017
"BPI-085-CR",10.1119322,-84.5363656
"BPI-009-CR",10.1267432,-84.480879
"BPI-013-CR",10.1136284,-84.5567831
"BPI-015-CR",10.1117494,-84.5578124
"BPI-021-CR",10.1174941,-84.4347098
"BPI-031-CR",10.1003038,-84.5511055
"BPI-032-CR",10.0999758,-84.5507279
"BPI-063-CR",10.1208018,-84.5517909
"BPI-070-CR",10.0728615,-84.4735999
"BPI-073-CR",10.0713692,-84.4777187
"BPI-076-CR",10.0710707,-84.4739909
"BPI-083-CR",10.0362608,-84.4741361
"BPI-087-CR",10.1079236,-84.5430199
"BPI-089-CR",10.1109297,-84.542484
"BPI-099-CR",10.0542554,-84.4884924
"BPI-110-CR",10.092577,-84.5566071
"BPI-113-CR",10.0790222,-84.4843316
"BPI-123-CR",10.1171909,-84.4469576
"BPI-131-CR",10.1228729,-84.5131493
"BPI-132-CR",10.1183973,-84.512499
"BPI-140-CR",10.120028,-84.5154186
"BPI-141-CR",10.1197841,-84.5146762
"BPI-145-CR",10.1239632,-84.4353451
"BPI-152-CR",10.1164697,-84.4479011
"BPI-155-CR",10.1076841,-84.4447795
"BPI-156-CR",10.1055376,-84.4454672
"BPI-157-CR",10.1044213,-84.4453707
"BPI-160-CR",10.1151524,-84.4370201
"BPI-159-CR",10.1014486,-84.442874
"BPI-074-CR",10.0707056,-84.4769386
"BPI-023-CR",10.1182092,-84.4342814
"BPI-033-CR",10.0988337,-84.5513884
"BPI-078-CR",10.0432786,-84.4681059
"BPI-079-CR",10.0441381,-84.4682152
"BPI-118-CR",10.1258536,-84.4295322
"BPI-119-CR",10.1267431,-84.4270497
"BPI-120-CR",10.1278151,-84.4258828
"BPI-121-CR",10.1287204,-84.4241338
"BPI-148-CR",10.1202619,-84.4340389
