IDs,Bosque maduro,Bosque secundario,Pastos,No forestal,Nubes,Sombra de nubes,totales,% Bosque maduro,% Bosque secundario,% No forestal,% Nubes,% Pastos,% Sombra de nubes
1,135,132,50,0,0,0,317,0.42586750788643535,0.416403785488959,0,0,0.15772870662460567,0
2,275,0,0,37,0,0,312,0.8814102564102564,0,0.11858974358974358,0,0,0
3,52,0,0,265,0,0,317,0.1640378548895899,0,0.8359621451104101,0,0,0
4,114,0,0,199,0,0,313,0.36421725239616615,0,0.6357827476038339,0,0,0
5,267,24,0,23,0,0,314,0.8503184713375797,0.07643312101910828,0.0732484076433121,0,0,0
6,210,26,0,77,0,0,313,0.670926517571885,0.08306709265175719,0.24600638977635783,0,0,0
7,166,118,27,0,0,0,311,0.5337620578778135,0.37942122186495175,0,0,0.08681672025723473,0
8,0,0,0,0,313,0,313,0,0,0,1,0,0
9,0,0,0,0,312,0,312,0,0,0,1,0,0
10,8,0,0,305,0,0,313,0.025559105431309903,0,0.9744408945686901,0,0,0
11,13,0,0,303,0,0,316,0.04113924050632911,0,0.9588607594936709,0,0,0
12,206,8,104,0,0,0,318,0.6477987421383647,0.025157232704402517,0,0,0.3270440251572327,0
13,7,0,0,308,0,0,315,0.022222222222222223,0,0.9777777777777777,0,0,0
14,314,0,0,0,0,0,314,1,0,0,0,0,0
15,165,0,22,125,0,0,312,0.5288461538461539,0,0.40064102564102566,0,0.07051282051282051,0
16,0,76,1,240,0,0,317,0,0.23974763406940064,0.7570977917981072,0,0.0031545741324921135,0
17,20,36,26,234,0,0,316,0.06329113924050633,0.11392405063291139,0.740506329113924,0,0.08227848101265822,0
18,13,78,117,107,0,0,315,0.04126984126984127,0.24761904761904763,0.3396825396825397,0,0.37142857142857144,0
19,30,0,240,42,0,0,312,0.09615384615384616,0,0.1346153846153846,0,0.7692307692307693,0
20,239,0,20,54,0,0,313,0.7635782747603834,0,0.17252396166134185,0,0.06389776357827476,0
21,0,68,212,36,0,0,316,0,0.21518987341772153,0.11392405063291139,0,0.6708860759493671,0
22,2,0,240,70,0,0,312,0.00641025641025641,0,0.22435897435897437,0,0.7692307692307693,0
23,8,37,142,125,0,0,312,0.02564102564102564,0.11858974358974358,0.40064102564102566,0,0.4551282051282051,0
24,159,13,1,137,0,0,310,0.5129032258064516,0.041935483870967745,0.44193548387096776,0,0.0032258064516129032,0
25,311,0,0,0,0,0,311,1,0,0,0,0,0
26,0,0,0,312,0,0,312,0,0,1,0,0,0
27,0,0,133,179,0,0,312,0,0,0.5737179487179487,0,0.42628205128205127,0
28,0,0,76,240,0,0,316,0,0,0.759493670886076,0,0.24050632911392406,0
29,0,0,109,202,0,0,311,0,0,0.6495176848874598,0,0.3504823151125402,0
30,83,0,34,199,0,0,316,0.2626582278481013,0,0.629746835443038,0,0.10759493670886076,0
31,184,0,0,128,0,0,312,0.5897435897435898,0,0.41025641025641024,0,0,0
32,9,0,155,151,0,0,315,0.02857142857142857,0,0.4793650793650794,0,0.49206349206349204,0
33,0,0,0,274,0,38,312,0,0,0.8782051282051282,0,0,0.12179487179487179
34,70,0,0,135,107,0,312,0.22435897435897437,0,0.4326923076923077,0.34294871794871795,0,0
35,0,0,46,268,0,0,314,0,0,0.8535031847133758,0,0.1464968152866242,0
36,222,0,0,94,0,0,316,0.7025316455696202,0,0.2974683544303797,0,0,0
37,84,0,190,42,0,0,316,0.26582278481012656,0,0.13291139240506328,0,0.6012658227848101,0
38,210,0,14,92,0,0,316,0.6645569620253164,0,0.2911392405063291,0,0.04430379746835443,0
39,152,0,83,78,0,0,313,0.48562300319488816,0,0.24920127795527156,0,0.26517571884984026,0
40,0,0,100,216,0,0,316,0,0,0.6835443037974683,0,0.31645569620253167,0
41,149,0,0,167,0,0,316,0.47151898734177217,0,0.5284810126582279,0,0,0
42,211,0,0,100,0,0,311,0.6784565916398714,0,0.3215434083601286,0,0,0
43,80,0,92,142,0,0,314,0.25477707006369427,0,0.45222929936305734,0,0.2929936305732484,0
44,11,0,0,302,0,0,313,0.03514376996805112,0,0.9648562300319489,0,0,0
45,0,0,94,219,0,0,313,0,0,0.6996805111821086,0,0.3003194888178914,0
46,0,1,115,197,0,0,313,0,0.003194888178913738,0.6293929712460063,0,0.36741214057507987,0
47,4,0,78,235,0,0,317,0.012618296529968454,0,0.7413249211356467,0,0.24605678233438485,0
48,0,0,0,312,0,0,312,0,0,1,0,0,0
49,0,0,16,295,0,0,311,0,0,0.9485530546623794,0,0.05144694533762058,0
50,272,0,41,0,0,0,313,0.8690095846645367,0,0,0,0.13099041533546327,0
51,274,2,39,0,0,0,315,0.8698412698412699,0.006349206349206349,0,0,0.12380952380952381,0
52,230,65,21,0,0,0,316,0.7278481012658228,0.20569620253164558,0,0,0.06645569620253164,0
53,0,0,0,315,0,0,315,0,0,1,0,0,0
54,0,0,0,313,0,0,313,0,0,1,0,0,0
55,2,0,0,315,0,0,317,0.006309148264984227,0,0.9936908517350158,0,0,0
56,239,0,0,78,0,0,317,0.7539432176656151,0,0.24605678233438485,0,0,0
57,245,0,1,66,0,0,312,0.7852564102564102,0,0.21153846153846154,0,0.003205128205128205,0
58,6,6,164,137,0,0,313,0.019169329073482427,0.019169329073482427,0.43769968051118213,0,0.5239616613418531,0
59,0,13,52,251,0,0,316,0,0.04113924050632911,0.7943037974683544,0,0.16455696202531644,0
60,0,67,108,139,0,0,314,0,0.21337579617834396,0.4426751592356688,0,0.34394904458598724,0
61,0,0,28,289,0,0,317,0,0,0.9116719242902208,0,0.08832807570977919,0
62,29,0,0,266,0,20,315,0.09206349206349207,0,0.8444444444444444,0,0,0.06349206349206349
63,86,0,0,151,0,79,316,0.2721518987341772,0,0.4778481012658228,0,0,0.25
64,0,0,101,210,0,0,311,0,0,0.6752411575562701,0,0.3247588424437299,0
65,53,0,66,198,0,0,317,0.167192429022082,0,0.6246056782334385,0,0.2082018927444795,0
66,0,0,79,233,0,0,312,0,0,0.7467948717948718,0,0.2532051282051282,0
67,0,0,12,301,0,0,313,0,0,0.9616613418530351,0,0.038338658146964855,0
68,0,0,109,203,0,0,312,0,0,0.6506410256410257,0,0.34935897435897434,0
69,10,0,83,222,0,0,315,0.031746031746031744,0,0.7047619047619048,0,0.2634920634920635,0
70,9,0,99,205,0,0,313,0.02875399361022364,0,0.6549520766773163,0,0.31629392971246006,0
71,3,142,166,0,0,0,311,0.00964630225080386,0.4565916398713826,0,0,0.5337620578778135,0
