IDs,Bosque maduro,Bosque secundario,No forestal,Nubes,Pastos,Sombra de nubes,totales,% Bosque maduro,% Bosque secundario,% No forestal,% Nubes,% Pastos,% Sombra de nubes
1,17,13,0,0,0,0,30,0.5666666666666667,0.43333333333333335,0,0,0,0
2,27,0,0,0,0,0,27,1,0,0,0,0,0
3,0,0,29,0,0,0,29,0,0,1,0,0,0
4,11,0,16,0,0,0,27,0.4074074074074074,0,0.5925925925925926,0,0,0
5,28,0,0,0,0,0,28,1,0,0,0,0,0
6,21,0,6,0,0,0,27,0.7777777777777778,0,0.2222222222222222,0,0,0
7,20,8,0,0,0,0,28,0.7142857142857143,0.2857142857142857,0,0,0,0
8,0,0,0,28,0,0,28,0,0,0,1,0,0
9,0,0,0,28,0,0,28,0,0,0,1,0,0
10,0,0,27,0,0,0,27,0,0,1,0,0,0
11,0,0,28,0,0,0,28,0,0,1,0,0,0
12,8,0,0,0,22,0,30,0.26666666666666666,0,0,0,0.7333333333333333,0
13,0,0,28,0,0,0,28,0,0,1,0,0,0
14,29,0,0,0,0,0,29,1,0,0,0,0,0
15,21,0,6,0,0,0,27,0.7777777777777778,0,0.2222222222222222,0,0,0
16,0,8,22,0,0,0,30,0,0.26666666666666666,0.7333333333333333,0,0,0
17,0,0,28,0,0,0,28,0,0,1,0,0,0
18,0,11,6,0,12,0,29,0,0.3793103448275862,0.20689655172413793,0,0.41379310344827586,0
19,0,0,0,0,28,0,28,0,0,0,0,1,0
20,27,0,0,0,0,0,27,1,0,0,0,0,0
21,0,0,0,0,28,0,28,0,0,0,0,1,0
22,0,0,1,0,26,0,27,0,0,0.037037037037037035,0,0.9629629629629629,0
23,0,1,17,0,9,0,27,0,0.037037037037037035,0.6296296296296297,0,0.3333333333333333,0
24,4,0,22,0,0,0,26,0.15384615384615385,0,0.8461538461538461,0,0,0
25,27,0,0,0,0,0,27,1,0,0,0,0,0
26,0,0,26,0,0,0,26,0,0,1,0,0,0
27,0,0,1,0,27,0,28,0,0,0.03571428571428571,0,0.9642857142857143,0
28,0,0,26,0,2,0,28,0,0,0.9285714285714286,0,0.07142857142857142,0
29,0,0,19,0,8,0,27,0,0,0.7037037037037037,0,0.2962962962962963,0
30,1,0,27,0,0,0,28,0.03571428571428571,0,0.9642857142857143,0,0,0
31,9,0,19,0,0,0,28,0.32142857142857145,0,0.6785714285714286,0,0,0
32,0,0,0,0,29,0,29,0,0,0,0,1,0
33,0,0,26,0,0,0,26,0,0,1,0,0,0
34,13,0,16,0,0,0,29,0.4482758620689655,0,0.5517241379310345,0,0,0
35,0,0,29,0,0,0,29,0,0,1,0,0,0
36,12,0,16,0,0,0,28,0.42857142857142855,0,0.5714285714285714,0,0,0
37,0,0,0,0,29,0,29,0,0,0,0,1,0
38,29,0,0,0,0,0,29,1,0,0,0,0,0
39,12,0,14,0,1,0,27,0.4444444444444444,0,0.5185185185185185,0,0.037037037037037035,0
40,0,0,7,0,21,0,28,0,0,0.25,0,0.75,0
41,22,0,6,0,0,0,28,0.7857142857142857,0,0.21428571428571427,0,0,0
42,26,0,3,0,0,0,29,0.896551724137931,0,0.10344827586206896,0,0,0
43,0,0,17,0,11,0,28,0,0,0.6071428571428571,0,0.39285714285714285,0
44,0,0,29,0,0,0,29,0,0,1,0,0,0
45,0,0,24,0,4,0,28,0,0,0.8571428571428571,0,0.14285714285714285,0
46,0,0,7,0,20,0,27,0,0,0.25925925925925924,0,0.7407407407407407,0
47,0,0,24,0,5,0,29,0,0,0.8275862068965517,0,0.1724137931034483,0
48,0,0,26,0,0,0,26,0,0,1,0,0,0
49,0,0,28,0,0,0,28,0,0,1,0,0,0
50,25,0,0,0,2,0,27,0.9259259259259259,0,0,0,0.07407407407407407,0
51,29,0,0,0,0,0,29,1,0,0,0,0,0
52,27,1,0,0,0,0,28,0.9642857142857143,0.03571428571428571,0,0,0,0
53,0,0,29,0,0,0,29,0,0,1,0,0,0
54,0,0,29,0,0,0,29,0,0,1,0,0,0
55,0,0,29,0,0,0,29,0,0,1,0,0,0
56,23,0,6,0,0,0,29,0.7931034482758621,0,0.20689655172413793,0,0,0
57,27,0,0,0,0,0,27,1,0,0,0,0,0
