	Sci_name	Region	AOS_57	type	C_name	PT-c	TB-r	PS-g	BD-g	CS	PS_BD	PT_TB	WatchList	Cont_concern	Major_hab	Red_list_16	NOT_IUCN
5	Acanthidops bairdi	Costa Rica	1876	landbird	Peg-billed Finch	3	3	5	5	16	10	6	2	Watch List - Red	Montane evergreen forest	LC	NA
9	Accipiter bicolor	Costa Rica	788	landbird	Bicolored Hawk	5	2	3	1	11	4	7	3	Watch List - Yel-d	Tropical deciduous forest	LC	NA
14	Accipiter cooperii	Costa Rica	786	landbird	Cooper's Hawk	1	NA	3	1	5	4	1	2	NC	Tropical deciduous forest	LC	NA
19	Accipiter striatus	Costa Rica	785	landbird	Sharp-shinned Hawk	1	NA	3	1	5	4	1	2	NC	Pine forest	LC	NA
25	Accipiter superciliosus	Costa Rica	784	landbird	Tiny Hawk	4	3	4	1	12	5	7	3	NC	Tropical lowland evergreen forest	LC	NA
28	Actitis macularius	Costa Rica	512	shorebird	Spotted Sandpiper	4	NA	3	1	8	4	4	NA	NC	rivers	LC	NA
37	Aegolius ridgwayi	Costa Rica	863	landbird	Unspotted Saw-whet Owl	5	3	5	5	18	10	8	1	Watch List - Red	Montane evergreen forest	LC	NA
42	Agamia agami	Costa Rica	745	waterbird	Agami Heron	3	3	4	1	11	5	6	NA	NC	Flooded evergreen forest	VU	NA
47	Agelaius phoeniceus	Costa Rica	2068	landbird	Red-winged Blackbird	4	2	1	1	8	2	6	3	NC	Freshwater marshes	LC	NA
53	Aimophila rufescens	Costa Rica	1961	landbird	Rusty Sparrow	2	3	3	3	11	6	5	2	NC	Arid montane scrub	LC	NA
60	Amaurolimnas concolor	Costa Rica	412	waterbird	Uniform Crake	5	3	4	2	14	6	8	NA	Watch List - Yel-d	Gallery forest	LC	NA
65	Amaurospiza concolor	Costa Rica	2056	landbird	Blue Seedeater	4	3	5	4	16	9	7	2	Watch List - Red	Montane evergreen forest	LC	NA
74	Amazilia amabilis	Costa Rica	375	landbird	Blue-chested Hummingbird	5	3	3	4	15	7	8	NA	Watch List - Red	Tropical lowland evergreen forest	LC	NA
78	Amazilia boucardi	Costa Rica	377	landbird	Mangrove Hummingbird	5	5	5	5	20	10	10	NA	Watch List - Red	Mangrove forest	EN	NA
94	Amazilia decora	Costa Rica	376	landbird	Charming Hummingbird	4	3	4	5	16	9	7	NA	Watch List - Yel-r	Tropical lowland evergreen forest	LC	NA
