Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S59642807,Great Tinamou,Tinamus major,39,1,CR-A,,L11128927,BPI-014-CR,10.1127216,-84.5569653,2019-09-09,06:41 AM,eBird - Stationary Count,10,1,,,1,,1
S59891992,Great Tinamou,Tinamus major,39,1,CR-A,,L11129538,BPI-029-CR,10.1059736,-84.5518021,2019-09-17,07:03 AM,eBird - Stationary Count,11,1,,,1,,1
S60138228,Great Tinamou,Tinamus major,39,1,CR-A,,L11129808,BPI-047-CR,10.1287986,-84.5130944,2019-09-26,06:46 AM,eBird - Stationary Count,10,1,,,1,,1 vocalizando 
S60220436,Great Tinamou,Tinamus major,39,1,CR-A,,L11129826,BPI-049-CR,10.1281729,-84.5127065,2019-09-26,05:53 AM,eBird - Stationary Count,10,1,,,1,,1,BPI49
S61000881,Great Tinamou,Tinamus major,39,1,CR-A,,L11130100,BPI-065-CR,10.1217769,-84.5532837,2019-10-18,06:40 AM,eBird - Stationary Count,10,1,,,1,,1,BPI-665
S59033866,Great Tinamou,Tinamus major,39,1,CR-A,,L9698019,Finca Asdrubal Gamboa - Nespresso,10.1139571,-84.5570664,2019-07-24,08:53 AM,eBird - Traveling Count,130,1,2.84,,3,,Cantando en bosque aledaño a cafetal,Finca Asdrubal Gamboa - Nespresso
S72117475,Little Tinamou,Crypturellus soui,56,1,CR-A,,L11128710,BPI-004-CR,10.0792857,-84.5052216,2020-07-30,06:22 AM,eBird - Stationary Count,10,1,,,1,,1
S59641929,Little Tinamou,Crypturellus soui,56,1,CR-A,,L11128972,BPI-017-CR,10.1112232,-84.5571165,2019-09-09,07:21 AM,eBird - Stationary Count,14,1,,,1,,1,BPI-17
S59880811,Little Tinamou,Crypturellus soui,56,2,CR-A,,L11129595,BPI-034-CR,10.0975689,-84.5513293,2019-09-17,09:03 AM,eBird - Stationary Count,11,1,,,1,,1,bpi-34
S59892029,Little Tinamou,Crypturellus soui,56,1,CR-A,,L11129595,BPI-034-CR,10.0975689,-84.5513293,2019-09-17,09:16 AM,eBird - Stationary Count,11,1,,,1,,Se encontraba en piedades sur cerca de una finca de café pequeña y vocalizando 
S64604857,Little Tinamou,Crypturellus soui,56,1,CR-A,,L11129687,BPI-039-CR,10.0452216,-84.478374,2020-02-14,05:54 AM,eBird - Stationary Count,10,1,,,1,,1,BPI-39
S71880388,Little Tinamou,Crypturellus soui,56,1,CR-A,,L11129687,BPI-039-CR,10.0452216,-84.478374,2020-07-27,05:35 AM,eBird - Stationary Count,10,1,,,1,,,bpi39
S71879712,Little Tinamou,Crypturellus soui,56,1,CR-A,,L11129687,BPI-039-CR,10.0452216,-84.478374,2020-07-27,05:44 AM,eBird - Stationary Count,10,1,,,1,,1
S72117448,Little Tinamou,Crypturellus soui,56,3,CR-A,,L11129687,BPI-039-CR,10.0452216,-84.478374,2020-07-28,09:10 AM,eBird - Stationary Count,10,1,,,1,,2
S71906056,Little Tinamou,Crypturellus soui,56,1,CR-A,,L11129687,BPI-039-CR,10.0452216,-84.478374,2020-07-28,09:24 AM,eBird - Stationary Count,11,1,,,1,,1,bpi39
S59966076,Little Tinamou,Crypturellus soui,56,1,CR-A,,L11129698,BPI-040-CR,10.0444591,-84.480093,2019-09-20,06:44 AM,eBird - Stationary Count,10,1,,,1
S59964477,Little Tinamou,Crypturellus soui,56,1,CR-A,,L11129698,BPI-040-CR,10.0444591,-84.480093,2019-09-20,06:55 AM,eBird - Stationary Count,11,1,,,1,,1,bpi40
S64483052,Little Tinamou,Crypturellus soui,56,3,CR-A,,L11129698,BPI-040-CR,10.0444591,-84.480093,2020-02-14,05:59 AM,eBird - Stationary Count,10,1,,,1,,2,bpi 40
S71880398,Little Tinamou,Crypturellus soui,56,1,CR-A,,L11129698,BPI-040-CR,10.0444591,-84.480093,2020-07-27,05:49 AM,eBird - Stationary Count,12,1,,,1,,1,bpi40
S71880408,Little Tinamou,Crypturellus soui,56,2,CR-A,,L11129707,BPI-041-CR,10.0435427,-84.4811087,2020-07-27,06:05 AM,eBird - Stationary Count,10,1,,,1,,2,bpi41
S71879688,Little Tinamou,Crypturellus soui,56,1,CR-A,,L11129707,BPI-041-CR,10.0435427,-84.4811087,2020-07-27,06:15 AM,eBird - Stationary Count,10,1,,,1,,1
S71880411,Little Tinamou,Crypturellus soui,56,1,CR-A,,L11129730,BPI-042-CR,10.0416568,-84.4810864,2020-07-27,06:21 AM,eBird - Stationary Count,10,1,,,1,,1,bpi42
S71879674,Little Tinamou,Crypturellus soui,56,3,CR-A,,L11129730,BPI-042-CR,10.0416568,-84.4810864,2020-07-27,06:30 AM,eBird - Stationary Count,10,1,,,1,,1
S71906078,Little Tinamou,Crypturellus soui,56,1,CR-A,,L11129730,BPI-042-CR,10.0416568,-84.4810864,2020-07-28,08:39 AM,eBird - Stationary Count,10,1,,,1,,1,bpi42
S60220494,Little Tinamou,Crypturellus soui,56,1,CR-A,,L11129774,BPI-044-CR,10.1213554,-84.5065818,2019-09-26,08:28 AM,eBird - Stationary Count,10,1,,,1,,1,bpi44
S60138245,Little Tinamou,Crypturellus soui,56,1,CR-A,,L11129787,BPI-045-CR,10.1203859,-84.5069953,2019-09-26,07:54 AM,eBird - Stationary Count,11,1,,,1,,1 vocalizando 
S60220481,Little Tinamou,Crypturellus soui,56,1,CR-A,,L11129787,BPI-045-CR,10.1203859,-84.5069953,2019-09-26,08:08 AM,eBird - Stationary Count,13,1,,,1,,1,bpi-45
S60821920,Little Tinamou,Crypturellus soui,56,1,CR-A,,L11130089,BPI-064-CR,10.1217069,-84.5517758,2019-10-21,08:18 AM,eBird - Stationary Count,12,1,,,2,,1
S73639775,Little Tinamou,Crypturellus soui,56,1,CR-A,,L11130135,BPI-068-CR,10.1153751,-84.5579698,2020-08-16,05:43 AM,eBird - Stationary Count,11,1,,,1,,1
S72415570,Little Tinamou,Crypturellus soui,56,1,CR-A,,L11130205,BPI-071-CR,10.072315,-84.4748727,2020-08-14,07:42 AM,eBird - Stationary Count,10,1,,,1,,1
S72117423,Little Tinamou,Crypturellus soui,56,1,CR-A,,L11130339,BPI-080-CR,10.0403151,-84.4739848,2020-07-28,07:37 AM,eBird - Stationary Count,11,1,,,1
S61637107,Little Tinamou,Crypturellus soui,56,1,CR-A,,L11130694,BPI-105-CR,10.0723331,-84.4977864,2019-11-21,06:21 AM,eBird - Stationary Count,11,1,,,1,,1,bpi105
S73641419,Little Tinamou,Crypturellus soui,56,1,CR-A,,L11130827,BPI-115-CR,10.0518394,-84.5161909,2020-08-12,06:55 AM,eBird - Stationary Count,10,1,,,1,,1
S61854265,Little Tinamou,Crypturellus soui,56,2,CR-A,,L11130857,BPI-117-CR,10.0531283,-84.5151519,2019-11-29,08:50 AM,eBird - Stationary Count,10,1,,,1,,,bpi117
